학년,학기,교과,단원,학습내용,해당차시,전체차시,쪽수
2,1학기,국어,1. 만나서 반가워요!,배울 내용 살펴보기 -1-,1,14,6~9
2,1학기,국어,1. 만나서 반가워요!,배울 내용 살펴보기 -2-,2,14,6~9
2,1학기,국어,1. 만나서 반가워요!,말차례 알아보기,3,14,10~11
2,1학기,국어,1. 만나서 반가워요!,글을 읽고 친구들과 이야기 나누기 -1-,4,14,12~27
2,1학기,국어,1. 만나서 반가워요!,글을 읽고 친구들과 이야기 나누기 -2-,5,14,12~27
2,1학기,국어,1. 만나서 반가워요!,글을 읽고 친구들과 이야기 나누기 -3-,6,14,12~27
2,1학기,국어,1. 만나서 반가워요!,소개할 내용 정리하기 -1-,7,14,28~31
2,1학기,국어,1. 만나서 반가워요!,소개할 내용 정리하기 -2-,8,14,28~31
2,1학기,국어,1. 만나서 반가워요!,자신을 소개하는 글 쓰기 -1-,9,14,32~35
2,1학기,국어,1. 만나서 반가워요!,자신을 소개하는 글 쓰기 -2-,10,14,32~35
2,1학기,국어,1. 만나서 반가워요!,배운 내용 실천하기 -1-,11,14,36~37
2,1학기,국어,1. 만나서 반가워요!,배운 내용 실천하기 -2-,12,14,36~37
2,1학기,국어,1. 만나서 반가워요!,배운 내용 마무리하기 -1-,13,14,38~41
2,1학기,국어,1. 만나서 반가워요!,배운 내용 마무리하기 -2-,14,14,38~41
2,1학기,국어,2. 말의 재미가 솔솔,배울 내용 살펴보기 -1-,1,15,42~45
2,1학기,국어,2. 말의 재미가 솔솔,배울 내용 살펴보기 -2-,2,15,42~45
2,1학기,국어,2. 말의 재미가 솔솔,재미있는 말놀이 하기 -1-,3,15,46~51
2,1학기,국어,2. 말의 재미가 솔솔,재미있는 말놀이 하기 -2-,4,15,46~51
2,1학기,국어,2. 말의 재미가 솔솔,재미있는 말놀이 하기 -3-,5,15,46~51
2,1학기,국어,2. 말의 재미가 솔솔,주변에서 여러 낱말을 찾아 이야기 만들기 -1-,6,15,52~55
2,1학기,국어,2. 말의 재미가 솔솔,주변에서 여러 낱말을 찾아 이야기 만들기 -2-,7,15,52~55
2,1학기,국어,2. 말의 재미가 솔솔,글을 읽고 자신의 생각이나 느낌 표현하기 -1-,8,15,56~63
2,1학기,국어,2. 말의 재미가 솔솔,글을 읽고 자신의 생각이나 느낌 표현하기 -2-,9,15,56~63
2,1학기,국어,2. 말의 재미가 솔솔,책에서 좋아하는 문장을 찾아 소개하기 -1-,10,15,64~65
2,1학기,국어,2. 말의 재미가 솔솔,책에서 좋아하는 문장을 찾아 소개하기 -2-,11,15,64~65
2,1학기,국어,2. 말의 재미가 솔솔,배운 내용 실천하기 -1-,12,15,66~67
2,1학기,국어,2. 말의 재미가 솔솔,배운 내용 실천하기 -2-,13,15,66~67
2,1학기,국어,2. 말의 재미가 솔솔,배운 내용 마무리하기 -1-,14,15,68~71
2,1학기,국어,2. 말의 재미가 솔솔,배운 내용 마무리하기 -2-,15,15,68~71
2,1학기,국어,3. 겪은 일을 나타내요,배울 내용 살펴보기 -1-,1,15,72~75
2,1학기,국어,3. 겪은 일을 나타내요,배울 내용 살펴보기 -2-,2,15,72~75
2,1학기,국어,3. 겪은 일을 나타내요,꾸며 주는 말을 넣어 문장 쓰기 -1-,3,15,76~79
2,1학기,국어,3. 겪은 일을 나타내요,꾸며 주는 말을 넣어 문장 쓰기 -2-,4,15,76~79
2,1학기,국어,3. 겪은 일을 나타내요,꾸며 주는 말이 들어간 문장 읽기 -1-,5,15,80~93
